魂,171
威,171
陛,171
架,170
波,170
蒙,169
争,169
让,169
端,169
层,169
诸,169
广,168
布,168
索,167
模,167
院,166
换,166
掌,166
借,166
凤,165
耍,165
盖,165
尘,165
则,164
及,164
号,163
美,163
肉,163
乐,163
愿,163
跌,163
足,162
背,162
庄,161
嚷,160
牙,160
江,159
幸,159
部,159
列,159
包,159
食,159
并,158
裟,157
汝,157
岸,157
体,157
厢,156
袈,156
恼,156
挑,156
揭,155
交,155
侍,155
递,154
祥,154
呀,154
亦,154
陈,154
非,154
停,153
次,153
显,153
腾,152
旧,152
装,151
园,151
矣,150
吾,150
胆,150
飘,150
剑,149
利,149
昏,149
春,149
爱,149
供,148
登,148
涧,148
闹,147
寒,147
吹,147
慢,147
虫,146
闪,146
福,146
哄,145
呵,145
底,144
围,144
牵,144
鼓,143
骨,143
胡,143
遭,143
招,142
疼,142
塔,141
设,141
切,141
番,140
诚,140
狮,140
角,139
’,138
奔,138
妙,138
叩,138
荡,138
朕,137
紫,137
或,136
劳,136
筑,135
翠,135
恨,135
钱,135
野,134
助,134
低,134
节,133
买,133
顿,133
烦,133
德,133
参,133
擒,133
孩,132
息,132
咐,132
岭,132
慈,131
掣,131
抖,130
‘,130
鱼,130
吩,130
宴,130
悲,129
油,129
喷,128
柳,128
目,128
候,128
游,128
缘,128
冷,127
舞,127
仔,127
锁,127
止,127
扑,127
客,126
闲,126
绣,125
余,125
霄,125
静,125
肚,125
形,123
竹,123
北,123
妇,123
守,123
欺,123
饮,123
甲,123
貌,123
熟,123
岂,123
逢,122
郎,122
笼,122
量,122
章,122
丑,122
睛,122
叶,121
亭,121
阁,121
碎,120
感,120
爬,120
雄,120
帅,120
除,119
辞,119
度,119
军,119
痛,119
迟,118
灭,118
短,118
躲,117
妻,117
怜,117
班,117
启,117
刚,117
绝,117
提,117
捻,117
论,117
沉,116
珠,116
灾,116
卖,116
踏,116
祸,115
梦,115
共,115
焰,115
冲,115
驮,115
桥,115
匹,114
束,114
炼,114
新,114
宣,114
摸,114
备,114
影,114
牌,113
歇,113
托,113
兽,113
景,112
反,112
瓶,112
丝,112
莲,112
洗,112
员,112
渐,112
蒸,111
竟,111
献,111
池,111
粗,111
披,110
狼,110
期,110
峰,110
亏,110
钦,109
芦,109
势,108
缠,108
表,108
赐,108
极,107
孤,107
井,107
遮,107
扫,106
顾,106
辰,106
血,106
坡,106
砍,106
趁,106
治,106
惧,106
赌,106
怀,105
磕,105
刹,105
雪,105
证,105
疑,105
浪,105
咬,105
敌,105
喊,105
居,105
拾,105
赴,104
蓬,104
旗,104
顺,104
:,104
霞,104
劈,104
鹿,103
铺,103
句,103
隐,103
病,103
伸,103
醒,103
记,102
展,102
朵,102
逃,102
帘,102
昨,102
微,102
钢,101
街,101
猿,101
毒,101
男,100
捆,100
医,100
拔,100
块,100
吊,100
找,100
杯,99
幽,99
司,99
调,99
袖,99
软,99
乌,99
宽,98
学,98
折,98
鼻,98
伙,98
枝,98
压,98
锅,98
扶,98
炉,98
铃,97
查,97
胎,97
洲,96
赛,96
算,96
赤,96
决,96
摄,95
诀,95
奇,95
垂,95
民,95
船,95
投,95
孽,94
搭,94
抛,94
亮,94
躬,94
羊,94
狂,94
凭,94
浑,94
初,94
临,93
丞,93
程,93
温,93
济,93
汤,93
猛,93
露,93
扬,92
绕,92
英,92
陪,92
俗,92
错,92
铜,92
尖,92
奘,92
谛,91
葫,91
纷,91
粉,91
秋,91
异,91
每,91
泉,90
搀,90
驿,90
遥,90
拥,90
鸟,90
米,89
碗,89
席,89
撒,89
苍,88
哪,88
吒,88
啼,88
州,88
娇,88
歹,88
彀,88
巡,87
丁,87
替,87
拽,87
吟,87
封,87
良,87
畜,87
瞒,86
鸡,86
哉,86
滴,85
坏,85
鸣,85
洪,85
升,85
站,85
仇,84
幼,84
悄,84
梁,84
值,84
森,84
独,84
写,84
闭,84
倚,84
承,84
樵,83
巧,83
戴,83
拳,83
密,83
妈,83
皈,83
盛,83
锋,82
蓝,82
讨,82
片,82
