zmjgm,sname,name,per_nav,zjzfe,symbol,three_month,clrq,six_month,dwjz,form_year,form_start,one_year,total_nav,jzrq,jjjl,ljjz,jjglr_code,
42158.3,鹏华养老产业股票,鹏华养老产业股票,1.729,164254000,000854,18.9133,2014-12-02 00:00:00,29.8048,1.729,149.1803,72.9,43.724,1.729,2017-11-07 00:00:00,王宗合,1.729,80000230,
23695.1,嘉实中证主要消费ETF,嘉实中证主要消费ETF,2.265,2951220,512600,23.1715,2014-06-13 00:00:00,38.7783,2.265,149.0426,126.409,48.0199,2.265,2017-11-07 00:00:00,何如、刘珈吟,2.265,80000223,
,华安稳固收益债券A,华安稳固收益债券A,1.607,11193200,002534,0.249532,2016-03-22 00:00:00,2.35669,1.607,148.9342,46.758,43.7388,1.607,2017-11-07 00:00:00,郑可成、石雨欣,1.607,80000228,
21816.5,长安鑫利优选混合A,长安鑫利优选混合A,1.6015,107762000,001281,19.3279,2015-05-18 00:00:00,33.4695,1.6015,148.8383,60.15,47.8763,1.6015,2017-11-06 00:00:00,林忠晶、陈立秋,1.6015,80139382,
23286.8,银华沪港深增长股票,银华沪港深增长股票,1.41,164997000,001703,11.5506,2016-08-10 00:00:00,33.3964,1.41,148.7626,50.2502,48.322,1.48,2017-11-07 00:00:00,周可彦,1.48,80000235,
78892.4,交银中证海外中国互联网指数(QDII-LOF),交银中证海外中国互联网指数(QDII-LOF),1.418,858480000,164906,4.67219,2015-05-27 00:00:00,18.9212,1.418,148.7152,38.9,40.8722,1.418,2017-11-06 00:00:00,蔡铮,1.418,80064562,
310679,申万菱信新经济混合,申万菱信新经济混合,1.2246,1634880000,310358,23.0012,2006-12-06 00:00:00,30.0967,1.2246,148.6706,189.127,43.5639,2.5665,2017-11-07 00:00:00,卢扬,2.5665,80045188,
,长安鑫利优选混合C,长安鑫利优选混合C,1.5978,7619990,002072,19.2388,2015-11-17 00:00:00,33.3723,1.5978,148.4944,47.2627,47.3985,1.5978,2017-11-06 00:00:00,林忠晶、陈立秋,1.5978,80139382,
161747,建信央视财经50指数分级,建信央视财经50指数分级,1.9037,197434000,165312,16.6126,2013-03-28 00:00:00,33.247,1.9037,148.4919,112.732,45.3994,2.0362,2017-11-07 00:00:00,叶乐天,2.0362,80065990,
30513.9,前海开源沪港深创新成长混合A,前海开源沪港深创新成长混合A,1.422,12737700,002666,19.1953,2016-06-24 00:00:00,36.075,1.422,148.4454,48.5939,48.2973,1.472,2017-11-07 00:00:00,倪枫,1.472,80280038,
88021,南方品质优选灵活配置混合,南方品质优选灵活配置混合,1.486,1542900000,002851,19.5495,2016-08-01 00:00:00,26.6837,1.486,148.1555,48.6,47.1287,1.486,2017-11-07 00:00:00,李振兴,1.486,80000220,
988480,上投摩根内需动力混合,上投摩根内需动力混合,1.3162,2481540000,377020,23.1936,2007-04-13 00:00:00,34.265,1.3162,148.0207,112.519,38.708,1.8488,2017-11-07 00:00:00,杜猛、刘辉,1.8488,80050229,
28669.8,信达澳银新能源产业股票,信达澳银新能源产业股票,1.579,347537000,001410,16.7899,2015-07-31 00:00:00,36.5917,1.579,147.985,57.9,42.2523,1.579,2017-11-07 00:00:00,冯明远,1.579,80074234,
28689.7,东方红产业升级混合,东方红产业升级混合,3.209,1158750000,000619,19.0724,2014-06-06 00:00:00,33.8199,3.209,147.9484,220.9,47.2694,3.209,2017-11-07 00:00:00,王延飞,3.209,80145102,
26880.9,景顺长城中证800食品饮料ETF,景顺长城中证800食品饮料ETF,2.0902,1309430,512210,20.6117,2014-07-18 00:00:00,37.1972,2.0902,147.9473,108.603,47.8322,2.0902,2017-11-07 00:00:00,江科宏,2.0902,80000251,
