symbol,name,ticktime,price,volume,prev_price,kind,settlement,ratio_avg_volume_20,
sh600027,华电国际,10:45:06,4.270,504000,4.250,U,4.170,600,
sh601901,方正证券,10:45:00,8.260,501500,8.260,U,8.270,329,
sh600023,浙能电力,10:44:57,5.390,702700,5.390,U,5.360,584,
sz002797,第一创业,10:44:45,11.270,544600,11.260,U,11.260,42,
sh600255,梦舟股份,10:44:42,4.400,513200,4.410,D,4.500,186,
sh601899,紫金矿业,10:44:39,3.730,676000,3.730,U,3.730,43,
sh601011,宝泰隆,10:44:36,11.030,507700,11.030,U,10.950,82,
sz000839,中信国安,10:44:33,13.620,624750,13.630,D,12.510,51,
sh600023,浙能电力,10:44:27,5.380,995600,5.380,U,5.360,828,
sz000725,京东方Ａ,10:44:24,6.690,1550200,6.680,U,6.530,10,
sz000725,京东方Ａ,10:44:15,6.680,504437,6.700,D,6.530,3,
sh600050,中国联通,10:44:00,7.910,548500,7.910,U,7.970,17,
sz000100,TCL 集团,10:43:57,4.880,510400,4.880,U,4.800,15,
sz000016,深康佳Ａ,10:43:45,6.700,666400,6.650,U,6.630,411,
sh600839,四川长虹,10:43:42,3.710,564600,3.710,U,3.720,52,
sh600030,中信证券,10:43:39,17.800,2338400,17.750,U,17.520,361,
sh601288,农业银行,10:43:36,3.710,554600,3.710,D,3.710,21,
sz000100,TCL 集团,10:43:12,4.870,515900,4.860,U,4.800,15,
sh600816,安信信托,10:42:54,14.210,500100,14.240,D,14.400,158,
sz000100,TCL 集团,10:42:54,4.860,736530,4.860,U,4.800,22,
sh600569,安阳钢铁,10:42:51,4.450,1004600,4.480,D,4.530,171,
sz000725,京东方Ａ,10:42:51,6.700,1152364,6.700,U,6.530,8,
sz000725,京东方Ａ,10:42:48,6.700,533000,6.690,U,6.530,4,
sz000100,TCL 集团,10:42:36,4.850,625600,4.840,U,4.800,19,
sh600050,中国联通,10:42:30,7.900,692280,7.890,U,7.970,22,
sz000725,京东方Ａ,10:42:27,6.690,571700,6.690,D,6.530,4,
sz002489,浙江永强,10:42:15,7.250,540900,7.270,D,6.900,434,
sz000725,京东方Ａ,10:42:15,6.690,761200,6.690,U,6.530,5,
sh600839,四川长虹,10:42:09,3.710,804900,3.700,U,3.720,74,
sz000725,京东方Ａ,10:42:03,6.690,816100,6.690,U,6.530,5,
sz000725,京东方Ａ,10:41:57,6.680,602500,6.690,D,6.530,4,
sh600010,包钢股份,10:41:53,2.670,1008400,2.680,D,2.670,140,
sh600010,包钢股份,10:41:47,2.670,2001500,2.670,D,2.670,278,
sh600822,上海物贸,10:41:45,16.000,576500,15.800,U,15.040,204,
sz002650,加加食品,10:41:45,6.550,635400,6.500,U,6.480,325,
sh600010,包钢股份,10:41:44,2.670,999500,2.680,D,2.670,139,
sh601918,新集能源,10:41:38,4.020,824300,4.000,U,3.990,517,
sz002260,德奥通航,10:41:30,16.840,819400,16.840,U,18.710,2224,
sh600050,中国联通,10:41:23,7.890,1034900,7.890,D,7.970,32,
sz002260,德奥通航,10:41:21,16.840,846300,16.840,U,18.710,2297,
sz002260,德奥通航,10:41:18,16.840,746500,16.840,U,18.710,2026,
sz002260,德奥通航,10:41:15,16.840,950900,16.840,U,18.710,2581,
sz002260,德奥通航,10:41:12,16.840,699000,16.840,U,18.710,1897,
sz000725,京东方Ａ,10:41:09,6.690,1102200,6.670,U,6.530,7,
sz002260,德奥通航,10:41:09,16.840,1841100,16.840,U,18.710,4998,
sz002260,德奥通航,10:41:06,16.840,1783400,16.840,U,18.710,4841,
sz002260,德奥通航,10:41:03,16.840,518200,16.840,U,18.710,1407,
sh600050,中国联通,10:41:01,7.900,842321,7.900,D,7.970,26,
sz002260,德奥通航,10:41:00,16.840,726600,16.840,U,18.710,1972,
sz000725,京东方Ａ,10:41:00,6.680,761400,6.680,U,6.530,5,
sh600050,中国联通,10:40:56,7.900,527900,7.910,D,7.970,17,
sz000725,京东方Ａ,10:40:48,6.670,1185800,6.690,D,6.530,8,
sz000725,京东方Ａ,10:40:45,6.690,571300,6.680,U,6.530,4,
sz000725,京东方Ａ,10:40:27,6.680,856700,6.680,U,6.530,6,
sz000725,京东方Ａ,10:40:24,6.680,527300,6.670,U,6.530,4,
sz000725,京东方Ａ,10:40:18,6.680,1187500,6.680,D,6.530,8,
sh600166,福田汽车,10:40:14,3.050,513700,3.050,U,3.010,67,
sz000725,京东方Ａ,10:40:03,6.680,727800,6.680,U,6.530,5,
sh600022,山东钢铁,10:39:56,2.270,845300,2.280,D,2.290,74,
sz000100,TCL 集团,10:39:54,4.840,994600,4.850,D,4.800,30,
sh601010,文峰股份,10:39:50,4.250,888900,4.240,U,4.150,1561,
sh601288,农业银行,10:39:41,3.710,680200,3.710,U,3.710,26,
sh600568,中珠医疗,10:39:41,7.290,810000,7.300,D,7.320,574,
sh600022,山东钢铁,10:39:41,2.270,846800,2.280,D,2.290,74,
sz000839,中信国安,10:39:39,13.750,946550,13.750,D,12.510,77,
sz000100,TCL 集团,10:39:39,4.840,1036900,4.840,D,4.800,31,
sh601010,文峰股份,10:39:35,4.240,1009900,4.190,U,4.150,1774,
sh600050,中国联通,10:39:29,7.920,528600,7.920,U,7.970,17,
sz000839,中信国安,10:39:27,13.750,2157240,13.620,U,12.510,175,
sz000725,京东方Ａ,10:39:24,6.670,685600,6.660,U,6.530,5,
sz000725,京东方Ａ,10:39:09,6.680,1184400,6.670,U,6.530,8,
sh601880,大连港,10:38:59,2.930,501600,2.930,U,2.940,138,
sz000100,TCL 集团,10:38:54,4.850,1612400,4.850,U,4.800,48,
sz000725,京东方Ａ,10:38:51,6.670,571100,6.660,U,6.530,4,
sz000725,京东方Ａ,10:38:42,6.660,542200,6.660,D,6.530,4,
sz000725,京东方Ａ,10:38:36,6.660,947200,6.670,D,6.530,6,
sz000100,TCL 集团,10:38:33,4.850,999695,4.850,U,4.800,30,
sz000725,京东方Ａ,10:38:21,6.660,715900,6.660,D,6.530,5,
sz000100,TCL 集团,10:38:21,4.850,1253100,4.840,U,4.800,37,
sz000725,京东方Ａ,10:38:12,6.660,1065100,6.660,U,6.530,7,
sh600022,山东钢铁,10:38:06,2.270,637500,2.280,D,2.290,56,
sz000725,京东方Ａ,10:38:03,6.670,891800,6.660,U,6.530,6,
