基金代码,基金名称,基金经理,类型,募集起始日,募集截止日,发行公告,
005147,兴银瑞景灵活配置混合,张晓南,稳健成长型,2017-10-04,2018-01-03,公告,
004608,长信乐信混合A,朱君荣,稳健成长型,2017-09-30,2017-11-10,公告,
004609,长信乐信混合C,朱君荣,稳健成长型,2017-09-30,2017-11-10,公告,
005192,博时鑫和混合C,过钧,稳健成长型,2017-09-29,2017-12-08,公告,
005191,博时鑫和混合A,过钧,稳健成长型,2017-09-29,2017-12-08,公告,
005072,中银丰进定期开放债券,王妍,稳健成长型,2017-09-26,2017-11-24,公告,
005131,海富通盈鑫货币A,谈云飞,收益型,2017-09-11,2017-12-08,公告,
005196,博时合丰货币B,黄海峰,收益型,2017-09-11,2017-12-08,公告,
005132,海富通盈鑫货币B,谈云飞,收益型,2017-09-11,2017-12-08,公告,
005195,博时合丰货币A,黄海峰,收益型,2017-09-11,2017-12-08,公告,
002204,国泰安心回报混合,吴晨,稳健成长型,2017-08-25,2017-11-24,公告,
